"gemeenten";"oppervlakte (in km²)";"oppervlakte (in m²)";"oppervlakte (in ha)";"gebiedscode";"naam van het gebied"
"Gent: Binnenstad (Gent)";2,7;2665191;266,52;"440211";"Binnenstad (Gent)"
"Gent: Muide - Meulestede - Afrikalaan (Gent)";1,5;1505428;150,54;"4402110";"Muide - Meulestede - Afrikalaan (Gent)"
"Gent: Gentse Kanaaldorpen en -zone (Gent)";41,5;41549005;4154,90;"4402111";"Gentse Kanaaldorpen en -zone (Gent)"
"Gent: Oostakker (Gent)";10,7;10664796;1066,48;"4402112";"Oostakker (Gent)"
"Gent: Dampoort (Gent)";1,4;1445947;144,59;"4402113";"Dampoort (Gent)"
"Gent: Sint-Amandsberg (Gent)";6,6;6633045;663,30;"4402114";"Sint-Amandsberg (Gent)"
"Gent: Moscou - Vogelhoek (Gent)";1,4;1353329;135,33;"4402115";"Moscou - Vogelhoek (Gent)"
"Gent: Gentbrugge (Gent)";4,7;4713438;471,34;"4402116";"Gentbrugge (Gent)"
"Gent: Oud Gentbrugge (Gent)";1,5;1491332;149,13;"4402117";"Oud Gentbrugge (Gent)"
"Gent: Ledeberg (Gent)";1,5;1495283;149,53;"4402118";"Ledeberg (Gent)"
"Gent: Zwijnaarde (Gent)";12,2;12165225;1216,52;"4402119";"Zwijnaarde (Gent)"
"Gent: Sluizeken - Tolhuis - Ham (Gent)";1,3;1270250;127,03;"440212";"Sluizeken - Tolhuis - Ham (Gent)"
"Gent: Nieuw Gent - UZ (Gent)";4,0;3977068;397,71;"4402120";"Nieuw Gent - UZ (Gent)"
"Gent: Stationsbuurt-Zuid (Gent)";2,7;2662475;266,25;"4402121";"Stationsbuurt-Zuid (Gent)"
"Gent: Stationsbuurt-Noord (Gent)";2,3;2264745;226,47;"4402122";"Stationsbuurt-Noord (Gent)"
"Gent: Sint-Denijs-Westrem - Afsnee (Gent)";8,5;8522871;852,29;"4402123";"Sint-Denijs-Westrem - Afsnee (Gent)"
"Gent: Mariakerke (Gent)";8,2;8214436;821,44;"4402124";"Mariakerke (Gent)"
"Gent: Drongen (Gent)";25,6;25606098;2560,61;"4402125";"Drongen (Gent)"
"Gent: Macharius - Heirnis (Gent)";0,7;714348;71,43;"440213";"Macharius - Heirnis (Gent)"
"Gent: Brugse Poort - Rooigem (Gent)";2,5;2545838;254,58;"440214";"Brugse Poort - Rooigem (Gent)"
"Gent: Watersportbaan - Ekkergem (Gent)";3,6;3627942;362,79;"440215";"Watersportbaan - Ekkergem (Gent)"
"Gent: Elisabethbegijnhof - Prinsenhof - Papegaai - Sint-Michiels (Gent)";1,0;950207;95,02;"440216";"Elisabethbegijnhof - Prinsenhof - Papegaai - Sint-Michiels (Gent)"
"Gent: Rabot - Blaisantvest (Gent)";0,9;857285;85,73;"440217";"Rabot - Blaisantvest (Gent)"
"Gent: Wondelgem (Gent)";9,2;9230887;923,09;"440218";"Wondelgem (Gent)"
"Gent: Bloemekenswijk (Gent)";1,6;1646368;164,64;"440219";"Bloemekenswijk (Gent)"
"Gent: Wijk onbekend - Gent";"-";"-";"-";"44021ONB";"Wijk onbekend - Gent"
